INFO - main.py - 2022-09-04 15:50:50,082 - Using device:cuda
INFO - main.py - 2022-09-04 15:50:50,086 - Writing log file to algorithms/A2C_GAE/logs
INFO - main.py - 2022-09-04 15:50:50,086 - Exp instance id = 8919
INFO - main.py - 2022-09-04 15:50:50,087 - Exp comment = 
INFO - main.py - 2022-09-04 15:50:53,408 - Start Training! Env: CartPole-v0, Algorithm: A2C_GAE
INFO - main.py - 2022-09-04 15:51:15,768 - episode: 235, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:15,804 - episode: 236, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:15,842 - episode: 237, steps: 8, reward: 8.0
INFO - main.py - 2022-09-04 15:51:15,877 - episode: 238, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:15,916 - episode: 239, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:15,957 - episode: 240, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:15,999 - episode: 241, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:16,039 - episode: 242, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:16,082 - episode: 243, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:16,122 - episode: 244, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:16,159 - episode: 245, steps: 8, reward: 8.0
INFO - main.py - 2022-09-04 15:51:16,198 - episode: 246, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:16,237 - episode: 247, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:16,272 - episode: 248, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:16,307 - episode: 249, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:16,343 - episode: 250, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:16,385 - episode: 251, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:16,424 - episode: 252, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:16,459 - episode: 253, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:16,496 - episode: 254, steps: 8, reward: 8.0
INFO - main.py - 2022-09-04 15:51:16,531 - episode: 255, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:16,568 - episode: 256, steps: 8, reward: 8.0
INFO - main.py - 2022-09-04 15:51:16,607 - episode: 257, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:16,643 - episode: 258, steps: 8, reward: 8.0
INFO - main.py - 2022-09-04 15:51:16,685 - episode: 259, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:16,721 - episode: 260, steps: 8, reward: 8.0
INFO - main.py - 2022-09-04 15:51:16,758 - episode: 261, steps: 8, reward: 8.0
INFO - main.py - 2022-09-04 15:51:16,799 - episode: 262, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:16,834 - episode: 263, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:16,875 - episode: 264, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:16,911 - episode: 265, steps: 9, reward: 9.0
